NAME,A,PER,R,MASS
Kepler-839 b,0.235594,37.8144514,0.229,0.020474
Kepler-203 c,0.0600193,5.370647,0.220359,0.019315
Kepler-1234 b,0.0949095,11.94014029,0.251,0.0238504
Kepler-1127 b,0.0575745,5.12330347,0.175,0.0144664
Kepler-732 c,0.0143082,0.89304124,0.113,0.00668223
Kepler-1528 b,0.0291497,1.79111021,0.13,0.0107116
Kepler-893 b,0.0670296,6.33855761,0.27,0.027323
Kepler-1387 b,0.0317279,2.27952666,0.083,0.00225358
Kepler-1062 b,0.0786582,9.30412078,0.157,0.0129801
Kepler-79 b,0.114456,13.485,0.316,0.0343
Kepler-202 b,0.0498841,4.069427,0.145419,0.0121124
Kepler-709 b,0.115768,16.08524954,0.261,0.0256089
KELT-2 A b,0.0549707,4.1137912,1.286,1.52064
Kepler-10 b,0.0167573,0.837495,0.126327,0.0142824
Kepler-208 e,0.125606,16.259458,0.132037,0.0112762
Kepler-1365 b,0.0763129,7.69993485,0.082,0.00215846
Kepler-270 c,0.168498,25.262887,0.157909,0.0130508
Kepler-966 b,0.423716,99.747622,0.368,0.0557908
Kepler-1010 b,0.196353,34.2685705,0.207,0.0176872
Kepler-811 b,0.161485,23.58447697,0.241,0.0222358
Kepler-225 c,0.138343,18.794234,0.164154,0.0135483
Kepler-1305 b,0.11018,13.5630972,0.168,0.0138656
Kepler-150 d,0.105752,12.56093,0.248907,0.0235009
Kepler-1322 b,0.0184246,0.96286738,0.144,0.0120099
Kepler-405 b,0.0945195,10.613839,0.185565,0.015437
Kepler-208 b,0.0511769,4.22864,0.145419,0.0121124
Kepler-1084 b,0.0328337,2.05333679,0.099,0.00422224
Kepler-616 b,0.0902152,9.99761851,0.217,0.0188877
Kepler-325 d,0.223972,38.715185,0.248907,0.0235009
Kepler-1065 c,0.0340815,2.37030743,0.143,0.0119381
Kepler-1464 c,0.0600955,5.32786292,0.089,0.00289089
Kepler-340 c,0.157474,22.824669,0.300651,0.0341953
Kepler-682 b,0.103131,12.61190667,0.658,0.164047
Kepler-507 b,0.0480157,3.56809693,0.116,0.00730709
Kepler-257 b,0.0349126,2.382667,0.232849,0.0210192
Kepler-976 b,0.418342,105.9564148,0.353,0.0503054
WASP-10 b,0.0384536,3.0927616,1.08,3.19144
Kepler-982 b,0.129335,15.7738221,0.201,0.0170154
WASP-17 b,0.0499354,3.735433,1.932,0.508547
HAT-P-17 b,0.0882385,10.338523,1.01,0.530158
Kepler-162 b,0.0710671,6.919798,0.11241,0.00656354
Kepler-487 c,0.216804,38.6519976,0.239,0.0219292
Kepler-293 c,0.280136,54.155743,0.34169,0.0463015
Kepler-872 b,0.0374071,2.57885507,0.178,0.0147338
Kepler-1542 d,0.0632508,5.99273738,0.078,0.0018073
K2-21 b,0.0747146,9.32414,0.14185,0.011856
Kepler-424 b,0.0436419,3.3118644,0.89,0.770225
